Country,LAType,LAName,TotalNumberOfEstablishments(IncludingNotYetRatedAndOutside)(1),NumberOfEstablishmentsNotYetRatedForIntervention(1),NumberOfEstablishmentsOutsideProgramme(1),Total%OfInterventionsAchieved(PremisesRatedA-C),Total%OfInterventionsAchieved-PremisesRatedA,Total%OfInterventionsAchieved-PremisesRatedB,Total%OfInterventionsAchieved-PremisesRatedC,Total%OfInterventionsAchieved-PremisesNotYetRated,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Seizure|DetentionAndSurrenderOfFood,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-SimpleCautions,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ImprovementNotices,TotalNumberOfEstablishmentsSubjectToWrittenWarnings,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProsecutionsConcluded,ProfessionalFullTimeEquivalentPosts-Occupied*
England,County Council,Buckinghamshire and Surrey (2),13443,253,1496,0.94,100,0.41,0.29,40,0,0,4,21,0,7.5
England,County Council,Cambridgeshire,5002,5,54,17.14,72.92,14.57,11.56,63.64,0,1,0,9,0,1.5
England,County Council,Cumbria,5368,165,0,62.74,100,100,56.55,97.52,0,0,0,74,2,2.2
England,County Council,Derbyshire (9),9350,138,0,56.19,94.74,81.95,25.15,24.14,0,1,4,19,0,4
England,County Council,Devon Somerset and Torbay,23520,333,0,3.43,100,3.39,1.61,87.45,0,0,1,74,0,3.4
England,County Council,Dorset,5249,25,0,76.33,100,60.22,93.75,100,0,3,0,32,1,2.8
England,County Council,East Sussex,7490,53,2,33.42,92.59,41.52,12.97,90.91,0,0,0,36,0,1
England,County Council,Essex,13639,211,0,38.91,87.61,25,37.31,96.77,0,0,0,36,1,4.7
England,County Council,Gloucestershire,3645,51,0,100,100,100,100,NR,0,1,0,11,0,2.54
England,County Council,Hampshire,9010,897,0,3.74,98.25,3.33,0.99,11.46,0,0,0,93,0,3.1
England,County Council,Hertfordshire,7412,571,0,6.58,84.21,3.96,35.39,7.12,0,0,0,4,0,6.2
England,County Council,Kent,15860,1786,0,89.05,100,85.5,98.63,100,0,0,0,0,0,3.8
England,County Council,Lancashire,10243,35,14,100,100,100,100,100,0,0,0,78,4,4
England,County Council,Leicestershire,3986,471,0,38.97,100,65.03,27.93,100,0,0,0,81,0,2.75
England,County Council,Lincolnshire,9081,51,18,1.62,10,1.24,2.32,33.33,0,0,0,0,0,2
England,County Council,Norfolk,8572,0,0,100,100,100,100,100,0,3,1,39,0,4.75
England,County Council,North Yorkshire,9557,108,0,35.04,98.77,18.76,64.18,100,0,0,0,19,0,2.85
England,County Council,Northamptonshire,4690,9,0,30.74,94.12,29.63,15,100,0,1,0,17,2,2.5
England,County Council,Nottinghamshire,6617,436,0,2.64,100,2.16,1.84,1.61,0,0,1,0,1,2.6
England,County Council,Oxfordshire,7372,0,0,1.6,84,1.69,0.94,100,0,0,0,25,0,2.09
England,County Council,Staffordshire,10285,134,0,40.46,100,54.41,36.33,94.19,0,1,0,72,0,3.5
England,County Council,Suffolk,10261,9412,5,9.35,60.34,4.04,0,100,0,0,0,11,0,1.8
England,County Council,Warwickshire,5546,1047,228,0.61,60,0.68,0.28,0.86,0,0,0,11,0,3
England,County Council,West Sussex,6866,30,0,92.97,98.51,92.56,88.89,100,0,2,1,289,0,5
England,County Council,Worcestershire,6882,1946,0,1,1.64,0.71,1.21,0.49,0,0,0,0,0,1
England,London Borough,Barking and Dagenham,,,,75.68,100,85.98,69.13,100,0,0,0,0,0,1
England,London Borough,Barnet,,,,51.71,100,47.08,54.08,92.91,0,0,2,73,0,1
England,London Borough,Bexley (5),,,,100,100,100,100,100,0,0,0,541,0,0
England,London Borough,Brent,,,,84.46,63.64,80.14,89.17,61.34,0,0,0,8,0,2
England,London Borough,Bromley (3),,,,59.04,80,60.23,58.25,100,0,0,1,9,0,2.45
England,London Borough,Camden (3),,,,97.72,100,99.19,95.3,100,1,0,0,0,0,1
England,London Borough,City of London,,,,30.33,NR,44.1,23.34,100,2,2,2,2,2,0.9
England,London Borough,Croydon,,,,42.04,22.22,42.72,41.98,100,0,0,0,5,0,4
England,London Borough,Ealing,,,,75.03,52.43,73.65,83.38,59.54,0,0,0,332,0,2.1
England,London Borough,Enfield,,,,29.76,100,28.65,21.77,100,0,0,0,218,1,1.5
England,London Borough,Greenwich,,,,93.83,85.71,91.33,95.77,100,0,0,0,107,0,1.2
England,London Borough,Hackney,,,,33.64,100,29.62,38.56,100,9,0,1,570,0,0.25
England,London Borough,Hammersmith and Fulham,,,,82.94,100,79.59,100,67.54,0,0,0,158,1,0.7
England,London Borough,Haringey,,,,61.89,100,57.58,63.58,100,0,0,0,24,0,1.24
England,London Borough,Harrow,,,,26.36,20,18.59,37.24,100,0,0,0,94,0,2
England,London Borough,Havering,,,,70.94,87.5,77.25,59.93,90.97,0,0,2,286,0,1
England,London Borough,Hillingdon,,,,81.9,85.71,93.79,77.8,94.77,3,0,3,188,1,1
England,London Borough,Hounslow,,,,81.71,100,83.52,79.91,100,0,0,0,539,0,3
England,London Borough,Islington,,,,93.64,70,91.8,94.48,100,0,0,0,6,0,1.5
England,London Borough,Kensington and Chelsea,,,,99.75,100,99.35,100,98.94,2,0,0,141,0,1.64
England,London Borough,Kingston-Upon-Thames,,,,64.95,23.81,59.8,67.63,38.93,1,0,0,134,0,0.62
England,London Borough,Lambeth,,,,38.02,0,41.23,36.19,24.9,0,0,0,555,0,1.5
England,London Borough,Lewisham,,,,6.99,25,9.54,5.31,100,0,0,0,10,0,0.8
England,London Borough,Merton,,,,71.22,100,83.61,62.63,100,0,0,0,18,0,1.3
England,London Borough,Newham,,,,72.84,92.86,59.57,91.26,100,0,0,0,269,0,1.5
England,London Borough,Redbridge,,,,100,100,100,100,NR,6,0,0,6,0,0.5
England,London Borough,Richmond-Upon-Thames,,,,47.41,25,45.29,48.09,94.23,0,0,0,31,0,1.2
England,London Borough,Southwark,,,,59.27,100,68.32,54.28,97.3,1,0,0,65,0,2
England,London Borough,Sutton,,,,37.26,66.67,52.98,32.12,46.58,0,0,0,141,0,0.64
England,London Borough,Tower Hamlets,,,,87.98,100,86.5,90.56,86.74,6,0,0,1270,0,0.83
England,London Borough,Waltham Forest,,,,46.58,75,58.03,36.91,81.85,1,0,1,0,0,2.05
England,London Borough,Wandsworth,,,,100,100,100,100,100,1,0,0,3,0,2
England,London Borough,Westminster (4),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Barnsley,,,,100,100,100,100,97.61,0,3,2,166,3,2.4
England,Metropolitan Borough Council,Birmingham,,,,75.05,94.48,85.55,65.91,100,0,0,19,10,0,3
England,Metropolitan Borough Council,Bolton,,,,0.12,0,0.33,0,0.08,0,0,0,1,0,4.3
England,Metropolitan Borough Council,Bradford (6),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Bury,,,,3.7,100,1.79,3.36,100,0,0,0,0,0,0.85
England,Metropolitan Borough Council,Calderdale (6),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Coventry,,,,3.79,100,5.21,2.09,78.57,0,3,0,8,2,0.5
England,Metropolitan Borough Council,Doncaster,,,,11.13,10,17.37,8.97,99.7,0,0,0,439,0,4.8
England,Metropolitan Borough Council,Dudley (7),,,,81,100,76.78,100,100,0,0,0,443,0,2.5
England,Metropolitan Borough Council,Gateshead,,,,15.09,100,15.09,9.85,42.31,2,0,1,36,0,1.5
England,Metropolitan Borough Council,Kirklees (6),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Knowsley,,,,23.08,0,27.27,23.08,100,0,0,0,1,0,1
England,Metropolitan Borough Council,Leeds (6),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Liverpool,,,,46.13,100,44.97,58.49,100,0,0,0,12,0,0.8
England,Metropolitan Borough Council,Manchester,,,,95.45,79.17,99.14,94.91,99.84,0,0,0,275,1,1
England,Metropolitan Borough Council,Newcastle Upon Tyne,,,,87.82,100,85.71,88.56,100,0,0,0,110,0,1
England,Metropolitan Borough Council,North Tyneside,,,,21.67,50,28.13,17.86,100,0,0,0,68,0,0.6
England,Metropolitan Borough Council,Oldham,,,,99.75,100,100,99.72,100,0,1,0,123,4,0.6
England,Metropolitan Borough Council,Rochdale,,,,64.3,33.33,87.59,51.94,0,0,0,0,106,0,0.25
England,Metropolitan Borough Council,Rotherham,,,,83.62,100,96.34,75,100,0,0,0,312,0,2
England,Metropolitan Borough Council,Salford,,,,26.42,100,28.19,16.03,100,0,1,0,21,0,1.5
England,Metropolitan Borough Council,Sandwell,,,,17.71,100,20.83,3.02,57.14,0,5,0,1,0,1.94
